,precision,recall,f1-score,support
animal fish,0.8682634730538922,0.27884615384615385,0.42212518195050946,520.0
animal fish bass,0.0,0.0,0.0,13.0
fish sea_food black_sea_sprat,0.08846426043878274,0.8389261744966443,0.16005121638924455,298.0
fish sea_food gilt_head_bream,0.0,0.0,0.0,305.0
fish sea_food hourse_mackerel,0.08490566037735849,0.03146853146853147,0.04591836734693878,286.0
fish sea_food red_mullet,0.14705882352941177,0.01718213058419244,0.03076923076923077,291.0
fish sea_food red_sea_bream,0.0,0.0,0.0,273.0
fish sea_food sea_bass,0.0,0.0,0.0,327.0
fish sea_food shrimp,0.0,0.0,0.0,289.0
fish sea_food striped_red_mullet,0.0,0.0,0.0,293.0
fish sea_food trout,0.11764705882352941,0.0136986301369863,0.024539877300613498,292.0
accuracy,0.1295889551302165,0.1295889551302165,0.1295889551302165,0.1295889551302165
macro avg,0.11875811602027042,0.1072837836847735,0.06212762488695791,3187.0
weighted avg,0.18176637379674776,0.1295889551302165,0.09301929729686527,3187.0
